,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Región
173,2021,1,Córdoba,78.59028062380018,Región Centro
174,2021,1,Corrientes,42.664128438821415,Región NEA
175,2021,1,Entre Ríos,60.439449728342346,Región Centro
176,2021,1,Formosa,32.732955756327215,Región NEA
177,2021,1,Jujuy,55.63244789620541,Región NOA
178,2021,1,La Pampa,81.77676345752207,Región Patagonia
179,2021,1,La Rioja,49.80693519079345,Región Cuyo
180,2021,1,Mendoza,39.153661528996416,Región Cuyo
181,2021,1,Misiones,43.172438905971845,Región NEA
182,2021,1,Neuquén,66.84208942045272,Región Patagonia
183,2021,1,Río Negro,60.87924030325769,Región Patagonia
184,2021,1,Salta,53.93001926339093,Región NOA
185,2021,1,San Juan,39.055194335357605,Región Cuyo
186,2021,1,San Luis,81.23730177127507,Región Cuyo
187,2021,1,Santa Cruz,41.64783103990742,Región Patagonia
188,2021,1,Santa Fe,73.91656407026184,Región Centro
189,2021,1,Santiago Del Estero,45.67308282365455,Región NOA
190,2021,1,Tierra Del Fuego,77.34935609177366,Región Patagonia
191,2021,1,Tucumán,54.81892254125389,Región NOA
192,2020,4,Buenos Aires,68.97702220170737,Región Buenos Aires
193,2020,4,Capital Federal,108.31107489043508,Región AMBA
194,2020,4,Catamarca,49.40688354549741,Región NOA
195,2020,4,Chaco,43.030788649779105,Región NEA
196,2020,4,Chubut,68.35189915825622,Región Patagonia
197,2020,4,Córdoba,78.07960876338194,Región Centro
198,2020,4,Corrientes,42.42828394694903,Región NEA
199,2020,4,Entre Ríos,59.47430676097378,Región Centro
200,2020,4,Formosa,32.487381907596735,Región NEA
201,2020,4,Jujuy,53.45659123390888,Región NOA
202,2020,4,La Pampa,81.76793248945148,Región Patagonia
203,2020,4,La Rioja,50.11061211701148,Región Cuyo
204,2020,4,Mendoza,38.62957896227819,Región Cuyo
205,2020,4,Misiones,42.64411416119227,Región NEA
206,2020,4,Neuquén,67.00234522048092,Región Patagonia
207,2020,4,Río Negro,61.088615480454756,Región Patagonia
208,2020,4,Salta,54.04275200147659,Región NOA
209,2020,4,San Juan,36.32088215575813,Región Cuyo
210,2020,4,San Luis,81.67947806105701,Región Cuyo
211,2020,4,Santa Cruz,36.99957245908797,Región Patagonia
212,2020,4,Santa Fe,73.58073807267776,Región Centro
213,2020,4,Santiago Del Estero,43.749256620689934,Región NOA
214,2020,4,Tierra Del Fuego,76.26583496977399,Región Patagonia
215,2020,4,Tucumán,54.78340441369959,Región NOA
216,2020,3,Buenos Aires,67.65618983090923,Región Buenos Aires
217,2020,3,Capital Federal,107.6759011657323,Región AMBA
218,2020,3,Catamarca,47.15709898417198,Región NOA
219,2020,3,Chaco,41.54192057806515,Región NEA
220,2020,3,Chubut,68.34389815720037,Región Patagonia
221,2020,3,Córdoba,75.22035723669207,Región Centro
222,2020,3,Corrientes,41.750749470464434,Región NEA
223,2020,3,Entre Ríos,58.1901640924315,Región Centro
224,2020,3,Formosa,31.905623310186538,Región NEA
225,2020,3,Jujuy,54.04441923820905,Región NOA
226,2020,3,La Pampa,79.26447706670275,Región Patagonia
227,2020,3,La Rioja,50.118113236302676,Región Cuyo
228,2020,3,Mendoza,37.348633137232696,Región Cuyo
229,2020,3,Misiones,41.60448628544863,Región NEA
230,2020,3,Neuquén,65.24417025530218,Región Patagonia
231,2020,3,Río Negro,57.052405915845014,Región Patagonia
232,2020,3,Salta,52.31571212848803,Región NOA
233,2020,3,San Juan,38.78995525412846,Región Cuyo
234,2020,3,San Luis,79.96172209417188,Región Cuyo
235,2020,3,Santa Cruz,35.95152890784452,Región Patagonia
236,2020,3,Santa Fe,72.12060247348236,Región Centro
237,2020,3,Santiago Del Estero,43.37593131691913,Región NOA
238,2020,3,Tierra Del Fuego,76.80909583946696,Región Patagonia
239,2020,3,Tucumán,53.2281495112899,Región NOA
240,2020,2,Buenos Aires,65.2205801358229,Región Buenos Aires
241,2020,2,Capital Federal,106.41480599073645,Región AMBA
242,2020,2,Catamarca,45.43181818181818,Región NOA
243,2020,2,Chaco,39.83250279006581,Región NEA
244,2020,2,Chubut,57.344613387235526,Región Patagonia
245,2020,2,Córdoba,72.71358531242393,Región Centro
246,2020,2,Corrientes,40.30476267979574,Región NEA
247,2020,2,Entre Ríos,56.538654739709614,Región Centro
248,2020,2,Formosa,31.1394362262631,Región NEA
249,2020,2,Jujuy,47.887810227872784,Región NOA
250,2020,2,La Pampa,76.10158288987562,Región Patagonia
251,2020,2,La Rioja,49.83993501839552,Región Cuyo
252,2020,2,Mendoza,36.25224342110005,Región Cuyo
253,2020,2,Misiones,40.88779600969606,Región NEA
254,2020,2,Neuquén,63.898469033764314,Región Patagonia
255,2020,2,Río Negro,56.369335248791955,Región Patagonia
256,2020,2,Salta,51.58158335340357,Región NOA
257,2020,2,San Juan,35.09485776365026,Región Cuyo
258,2020,2,San Luis,78.4096773527651,Región Cuyo
259,2020,2,Santa Cruz,35.79262396979603,Región Patagonia
260,2020,2,Santa Fe,70.002168637187,Región Centro
261,2020,2,Santiago Del Estero,43.46716682468362,Región NOA
262,2020,2,Tierra Del Fuego,76.36948260742473,Región Patagonia
263,2020,2,Tucumán,51.78074091030483,Región NOA
264,2020,1,Buenos Aires,64.32563101743429,Región Buenos Aires
265,2020,1,Capital Federal,105.98017414181909,Región AMBA
266,2020,1,Catamarca,37.615427687460254,Región NOA
267,2020,1,Chaco,37.483833369172615,Región NEA
268,2020,1,Chubut,51.26848941909703,Región Patagonia
269,2020,1,Córdoba,70.6880744339108,Región Centro
270,2020,1,Corrientes,38.729079942230904,Región NEA
271,2020,1,Entre Ríos,56.12006051437216,Región Centro
272,2020,1,Formosa,30.228303962606848,Región NEA
273,2020,1,Jujuy,46.670230639987786,Región NOA
274,2020,1,La Pampa,75.76678781291396,Región Patagonia
275,2020,1,La Rioja,46.346631384166976,Región Cuyo
276,2020,1,Mendoza,33.14207670017271,Región Cuyo
277,2020,1,Misiones,39.01834755171205,Región NEA
278,2020,1,Neuquén,61.84749362355069,Región Patagonia
279,2020,1,Río Negro,55.11566865962362,Región Patagonia
280,2020,1,Salta,49.59568027012866,Región NOA
281,2020,1,San Juan,32.392292136304725,Región Cuyo
282,2020,1,San Luis,76.30854184641933,Región Cuyo
283,2020,1,Santa Cruz,35.97427628896549,Región Patagonia
284,2020,1,Santa Fe,69.52357940253133,Región Centro
