,Provincia,Año,Accesos por cada 100 hogares,Objetivo
92,La Pampa,2016,60.7564242793969,64.40180973616071
93,La Pampa,2017,66.58812640049011,70.58341398451952
94,La Pampa,2018,72.00906489928227,76.3296087932392
95,La Pampa,2019,76.95364894132804,81.57086787780773
96,La Pampa,2020,78.22519506473596,82.91870676862011
97,La Pampa,2021,84.42601899493134,89.49158013462721
98,La Pampa,2022,94.00833132852179,99.6488312082331
99,La Rioja,2014,16.57853344837164,17.573245455273938
100,La Rioja,2015,17.013325214955216,18.03412472785253
101,La Rioja,2016,16.81057411852651,17.8192085656381
102,La Rioja,2017,33.85817416565161,35.88966461559071
103,La Rioja,2018,50.87560948742333,53.92814605666873
104,La Rioja,2019,48.49208056494417,51.401605398840815
105,La Rioja,2020,49.10382293896916,52.05005231530731
106,La Rioja,2021,70.4923118715782,74.7218505838729
107,La Rioja,2022,79.85864966641125,84.65016864639593
108,Mendoza,2014,32.240730643663255,34.17517448228305
109,Mendoza,2015,32.459707929813185,34.40729040560198
110,Mendoza,2016,32.11125572822381,34.037931071917235
111,Mendoza,2017,33.15804386073164,35.14752649237553
112,Mendoza,2018,37.44835123509313,39.695252309198715
113,Mendoza,2019,38.19949062831769,40.49146006601675
114,Mendoza,2020,36.343133055195906,38.52372103850766
115,Mendoza,2021,43.295126281511514,45.892833858402206
116,Mendoza,2022,50.12881023389586,53.136538847929614
117,Misiones,2014,23.558518452427755,24.97202955957342
118,Misiones,2015,27.661572634747895,29.32126699283277
119,Misiones,2016,29.30817524941847,31.066665764383576
120,Misiones,2017,30.239906543761855,32.05430093638756
121,Misiones,2018,32.28551471563622,34.22264559857439
122,Misiones,2019,38.63136512878825,40.949247036515544
123,Misiones,2020,41.038686002012255,43.50100716213299
124,Misiones,2021,45.70513115166102,48.44743902076068
125,Misiones,2022,51.17833549943238,54.24903562939832
126,Neuquén,2014,52.39618874353839,55.53996006815069
127,Neuquén,2015,54.49010649921016,57.759512889162764
128,Neuquén,2016,58.98518516366367,62.52429627348349
129,Neuquén,2017,61.251472656844726,64.9265610162554
130,Neuquén,2018,60.32749199398023,63.947141513619044
131,Neuquén,2019,61.36343557129738,65.04524170557522
132,Neuquén,2020,64.49811953327452,68.36800670527099
133,Neuquén,2021,69.7472490630138,73.93208400679462
134,Neuquén,2022,78.30826377498178,83.0067596014807
135,Río Negro,2014,45.48077934024225,48.209626100656784
136,Río Negro,2015,46.03293424450982,48.79491029918041
137,Río Negro,2016,46.21210379450647,48.98483002217686
138,Río Negro,2017,47.48615814296857,50.33532763154668
139,Río Negro,2018,50.592201869373454,53.62773398153586
140,Río Negro,2019,58.4488919626997,61.95582548046168
141,Río Negro,2020,57.406506326178835,60.85089670574956
142,Río Negro,2021,62.620848400948944,66.37809930500588
143,Río Negro,2022,67.82160188746758,71.89089800071564
144,Salta,2014,29.09292487096736,30.8385003632254
145,Salta,2015,30.810087484268493,32.6586927333246
146,Salta,2016,32.26180585419777,34.197514205449636
147,Salta,2017,36.23771321420391,38.41197600705614
148,Salta,2018,39.73545180580959,42.11957891415816
149,Salta,2019,44.20558989569033,46.85792528943175
150,Salta,2020,51.88393193837422,54.99696785467667
151,Salta,2021,55.40970338884655,58.73428559217734
152,Salta,2022,57.341898352124396,60.78241225325186
153,San Juan,2014,27.817395258404606,29.486438973908882
154,San Juan,2015,27.63162144291482,29.28951872948971
155,San Juan,2016,27.32028105307082,28.959497916255067
156,San Juan,2017,29.167048914978103,30.91707184987679
157,San Juan,2018,32.62587371863916,34.58342614175751
158,San Juan,2019,34.33751603866121,36.39776700098088
159,San Juan,2020,35.649496827460396,37.78846663710802
160,San Juan,2021,39.345879975708876,41.70663277425141
161,San Juan,2022,48.67149540233291,51.591785126472885
162,San Luis,2014,9.640680542021444,10.21912137454273
163,San Luis,2015,9.70907326355233,10.29161765936547
164,San Luis,2016,9.615325564157061,10.192245098006484
165,San Luis,2017,11.28101584214988,11.957876792678872
166,San Luis,2018,37.55069587818646,39.80373763087765
167,San Luis,2019,77.31851165673592,81.95762235614008
168,San Luis,2020,79.08985483860333,83.83524612891952
