,Año,Trimestre,Provincia,Mbps (Media de bajada),Región
231,2020,3,Río Negro,21.077778703258762,Región Patagonia
232,2020,3,Salta,25.261155924027737,Región NOA
233,2020,3,San Juan,6.027864793582682,Región Cuyo
234,2020,3,San Luis,20.84992813378867,Región Cuyo
235,2020,3,Santa Cruz,6.649363712026633,Región Patagonia
236,2020,3,Santa Fe,25.690941341268072,Región Centro
237,2020,3,Santiago Del Estero,10.879017270659741,Región NOA
238,2020,3,Tierra Del Fuego,8.506676055475614,Región Patagonia
239,2020,3,Tucumán,34.835801698615526,Región NOA
240,2020,2,Buenos Aires,45.66197363212277,Región Buenos Aires
241,2020,2,Capital Federal,60.4844973584038,Región AMBA
242,2020,2,Catamarca,34.92595642857143,Región NOA
243,2020,2,Chaco,27.952284674364286,Región NEA
244,2020,2,Chubut,7.605487984559083,Región Patagonia
245,2020,2,Córdoba,30.987577637139466,Región Centro
246,2020,2,Corrientes,22.15030606257576,Región NEA
247,2020,2,Entre Ríos,20.448621178442586,Región Centro
248,2020,2,Formosa,16.870258993114398,Región NEA
249,2020,2,Jujuy,15.864013631862552,Región NOA
250,2020,2,La Pampa,8.028862255598405,Región Patagonia
251,2020,2,La Rioja,11.669110961977259,Región Cuyo
252,2020,2,Mendoza,9.274562732094155,Región Cuyo
253,2020,2,Misiones,22.560122617583183,Región NEA
254,2020,2,Neuquén,29.100147623878513,Región Patagonia
255,2020,2,Río Negro,19.679596047283173,Región Patagonia
256,2020,2,Salta,22.55853618795662,Región NOA
257,2020,2,San Juan,6.308614963196474,Región Cuyo
258,2020,2,San Luis,21.02062693689071,Región Cuyo
259,2020,2,Santa Cruz,6.593202418178028,Región Patagonia
260,2020,2,Santa Fe,23.925791608984095,Región Centro
261,2020,2,Santiago Del Estero,10.411619106122004,Región NOA
262,2020,2,Tierra Del Fuego,8.128329395457266,Región Patagonia
263,2020,2,Tucumán,32.70453443718797,Región NOA
264,2020,1,Buenos Aires,45.18128807375552,Región Buenos Aires
265,2020,1,Capital Federal,58.70568296242247,Región AMBA
266,2020,1,Catamarca,29.132225012939607,Región NOA
267,2020,1,Chaco,25.942049334121737,Región NEA
268,2020,1,Chubut,7.117047781865397,Región Patagonia
269,2020,1,Córdoba,29.394787835061326,Región Centro
270,2020,1,Corrientes,20.538999274943325,Región NEA
271,2020,1,Entre Ríos,19.029765335057498,Región Centro
272,2020,1,Formosa,15.697352607415109,Región NEA
273,2020,1,Jujuy,14.14492205715465,Región NOA
274,2020,1,La Pampa,7.291757720474826,Región Patagonia
275,2020,1,La Rioja,7.962418947150687,Región Cuyo
276,2020,1,Mendoza,8.440867710216997,Región Cuyo
277,2020,1,Misiones,22.148213068436263,Región NEA
278,2020,1,Neuquén,27.76828207897622,Región Patagonia
279,2020,1,Río Negro,19.06030056406124,Región Patagonia
280,2020,1,Salta,21.425047243902736,Región NOA
281,2020,1,San Juan,6.036984591484099,Región Cuyo
282,2020,1,San Luis,20.989379744282658,Región Cuyo
283,2020,1,Santa Cruz,6.417170627364028,Región Patagonia
284,2020,1,Santa Fe,22.42405677003625,Región Centro
285,2020,1,Santiago Del Estero,10.00053908049476,Región NOA
286,2020,1,Tierra Del Fuego,7.410865837696335,Región Patagonia
287,2020,1,Tucumán,32.24553094303289,Región NOA
288,2019,4,Buenos Aires,30.769694141005864,Región Buenos Aires
289,2019,4,Capital Federal,44.203178670085876,Región AMBA
290,2019,4,Catamarca,24.878307670462615,Región NOA
291,2019,4,Chaco,23.37495080016229,Región NEA
292,2019,4,Chubut,6.994113523445059,Región Patagonia
293,2019,4,Córdoba,26.16228061451293,Región Centro
294,2019,4,Corrientes,19.255411607971407,Región NEA
295,2019,4,Entre Ríos,17.007580897657125,Región Centro
296,2019,4,Formosa,14.525629551519327,Región NEA
297,2019,4,Jujuy,12.959200042804211,Región NOA
298,2019,4,La Pampa,6.526152195693043,Región Patagonia
299,2019,4,La Rioja,8.000880364029628,Región Cuyo
300,2019,4,Mendoza,7.785200889987086,Región Cuyo
301,2019,4,Misiones,20.32034743574273,Región NEA
302,2019,4,Neuquén,26.01988431478295,Región Patagonia
303,2019,4,Río Negro,17.17699897385603,Región Patagonia
304,2019,4,Salta,19.08357302283381,Región NOA
305,2019,4,San Juan,6.040171698468491,Región Cuyo
306,2019,4,San Luis,20.690353422143115,Región Cuyo
307,2019,4,Santa Cruz,5.207925064069708,Región Patagonia
308,2019,4,Santa Fe,20.54719701980728,Región Centro
309,2019,4,Santiago Del Estero,9.792201844355846,Región NOA
310,2019,4,Tierra Del Fuego,7.27,Región Patagonia
311,2019,4,Tucumán,29.87038932431276,Región NOA
312,2019,3,Buenos Aires,25.679380143834067,Región Buenos Aires
313,2019,3,Capital Federal,38.71410056071139,Región AMBA
314,2019,3,Catamarca,9.293407429459826,Región NOA
315,2019,3,Chaco,19.994668122685404,Región NEA
316,2019,3,Chubut,6.966323588474291,Región Patagonia
317,2019,3,Córdoba,23.193402364939846,Región Centro
318,2019,3,Corrientes,16.69992255090861,Región NEA
319,2019,3,Entre Ríos,14.69513286650061,Región Centro
320,2019,3,Formosa,13.22353748406198,Región NEA
321,2019,3,Jujuy,11.968240929924347,Región NOA
322,2019,3,La Pampa,5.719666464891041,Región Patagonia
323,2019,3,La Rioja,8.002375296912113,Región Cuyo
324,2019,3,Mendoza,6.10822854552147,Región Cuyo
325,2019,3,Misiones,17.931522461372833,Región NEA
326,2019,3,Neuquén,23.74841515996666,Región Patagonia
327,2019,3,Río Negro,15.983718503999242,Región Patagonia
328,2019,3,Salta,14.746465244455523,Región NOA
329,2019,3,San Juan,6.038229508650902,Región Cuyo
330,2019,3,San Luis,19.743826982349614,Región Cuyo
331,2019,3,Santa Cruz,5.017746940956451,Región Patagonia
332,2019,3,Santa Fe,18.165529686687883,Región Centro
333,2019,3,Santiago Del Estero,9.389413131426359,Región NOA
334,2019,3,Tierra Del Fuego,6.690701380143412,Región Patagonia
335,2019,3,Tucumán,19.323994794580525,Región NOA
336,2019,2,Buenos Aires,22.480046018557395,Región Buenos Aires
337,2019,2,Capital Federal,30.346259857091994,Región AMBA
338,2019,2,Catamarca,8.81,Región NOA
339,2019,2,Chaco,16.01024333099657,Región NEA
340,2019,2,Chubut,6.054406893543786,Región Patagonia
341,2019,2,Córdoba,18.43151783191278,Región Centro
342,2019,2,Corrientes,13.833035083816176,Región NEA
343,2019,2,Entre Ríos,12.193357817950574,Región Centro
344,2019,2,Formosa,10.836611219480826,Región NEA
345,2019,2,Jujuy,12.073382280507326,Región NOA
346,2019,2,La Pampa,5.492288321417966,Región Patagonia
347,2019,2,La Rioja,7.894163486005089,Región Cuyo
348,2019,2,Mendoza,6.02629690452623,Región Cuyo
349,2019,2,Misiones,14.50130254739236,Región NEA
350,2019,2,Neuquén,17.242865250195976,Región Patagonia
351,2019,2,Río Negro,11.628050204319907,Región Patagonia
352,2019,2,Salta,12.548748750601563,Región NOA
353,2019,2,San Juan,6.118522013069041,Región Cuyo
354,2019,2,San Luis,19.875972848399364,Región Cuyo
355,2019,2,Santa Cruz,6.008047317560813,Región Patagonia
356,2019,2,Santa Fe,15.074549058890282,Región Centro
357,2019,2,Santiago Del Estero,7.103112882966522,Región NOA
358,2019,2,Tierra Del Fuego,6.34,Región Patagonia
359,2019,2,Tucumán,18.529317885920335,Región NOA
360,2019,1,Buenos Aires,19.643958224230506,Región Buenos Aires
361,2019,1,Capital Federal,24.715063293849774,Región AMBA
362,2019,1,Catamarca,7.964005155271879,Región NOA
363,2019,1,Chaco,13.444236269077935,Región NEA
364,2019,1,Chubut,5.891730569196159,Región Patagonia
365,2019,1,Córdoba,15.73486422864591,Región Centro
366,2019,1,Corrientes,12.049695550812029,Región NEA
367,2019,1,Entre Ríos,10.659197328953976,Región Centro
368,2019,1,Formosa,9.825089957835713,Región NEA
369,2019,1,Jujuy,8.560464217465055,Región NOA
370,2019,1,La Pampa,5.057861842867403,Región Patagonia
371,2019,1,La Rioja,7.092792286992043,Región Cuyo
372,2019,1,Mendoza,5.742764175317399,Región Cuyo
373,2019,1,Misiones,12.512773459683503,Región NEA
374,2019,1,Neuquén,15.884653263915219,Región Patagonia
375,2019,1,Río Negro,10.488420648136287,Región Patagonia
376,2019,1,Salta,10.377100013969459,Región NOA
377,2019,1,San Juan,5.839263189429536,Región Cuyo
378,2019,1,San Luis,8.708555188754593,Región Cuyo
379,2019,1,Santa Cruz,5.779992970397563,Región Patagonia
380,2019,1,Santa Fe,12.986963477266004,Región Centro
381,2019,1,Santiago Del Estero,6.415070737969083,Región NOA
382,2019,1,Tierra Del Fuego,6.341101450612301,Región Patagonia
383,2019,1,Tucumán,16.573299964579572,Región NOA
384,2018,4,Buenos Aires,16.934363010150058,Región Buenos Aires
385,2018,4,Capital Federal,22.93530199223472,Región AMBA
386,2018,4,Catamarca,8.043920202659912,Región NOA
387,2018,4,Chaco,13.492083570210347,Región NEA
388,2018,4,Chubut,6.085223903684034,Región Patagonia
389,2018,4,Córdoba,15.813667433629776,Región Centro
390,2018,4,Corrientes,12.138923393387724,Región NEA
391,2018,4,Entre Ríos,11.023282490376955,Región Centro
392,2018,4,Formosa,9.816893711913803,Región NEA
393,2018,4,Jujuy,8.562737601752614,Región NOA
394,2018,4,La Pampa,4.319094957943483,Región Patagonia
395,2018,4,La Rioja,7.0933821251548945,Región Cuyo
396,2018,4,Mendoza,5.746675102434321,Región Cuyo
397,2018,4,Misiones,12.495112674155788,Región NEA
398,2018,4,Neuquén,15.89123364607043,Región Patagonia
399,2018,4,Río Negro,10.487005565275494,Región Patagonia
400,2018,4,Salta,10.45728408913591,Región NOA
401,2018,4,San Juan,5.715266539357845,Región Cuyo
402,2018,4,San Luis,8.818992791900516,Región Cuyo
403,2018,4,Santa Cruz,5.1195073647728675,Región Patagonia
404,2018,4,Santa Fe,13.179234899969483,Región Centro
405,2018,4,Santiago Del Estero,6.309255243851745,Región NOA
406,2018,4,Tierra Del Fuego,7.436562008214025,Región Patagonia
407,2018,4,Tucumán,16.58323444553027,Región NOA
408,2018,3,Buenos Aires,16.77973513236217,Región Buenos Aires
409,2018,3,Capital Federal,21.643368364061413,Región AMBA
410,2018,3,Catamarca,7.806521941530631,Región NOA
411,2018,3,Chaco,12.89496189060927,Región NEA
412,2018,3,Chubut,6.076722322942862,Región Patagonia
413,2018,3,Córdoba,14.8182495375679,Región Centro
414,2018,3,Corrientes,11.493228365457123,Región NEA
415,2018,3,Entre Ríos,10.524753506287304,Región Centro
416,2018,3,Formosa,9.318495441068285,Región NEA
417,2018,3,Jujuy,7.669872151814152,Región NOA
418,2018,3,La Pampa,4.283048376167659,Región Patagonia
419,2018,3,La Rioja,6.156013225626096,Región Cuyo
420,2018,3,Mendoza,5.786015677158131,Región Cuyo
421,2018,3,Misiones,12.487485758721087,Región NEA
422,2018,3,Neuquén,14.674244286624784,Región Patagonia
423,2018,3,Río Negro,10.06446008106754,Región Patagonia
424,2018,3,Salta,9.265848177562406,Región NOA
425,2018,3,San Juan,5.738204725877363,Región Cuyo
426,2018,3,San Luis,8.814987579354126,Región Cuyo
427,2018,3,Santa Cruz,5.369715716600383,Región Patagonia
428,2018,3,Santa Fe,12.357326043488575,Región Centro
429,2018,3,Santiago Del Estero,5.779842512369051,Región NOA
430,2018,3,Tierra Del Fuego,5.98788374717833,Región Patagonia
431,2018,3,Tucumán,15.255950362488306,Región NOA
432,2018,2,Buenos Aires,14.679375512175804,Región Buenos Aires
433,2018,2,Capital Federal,18.93813458927817,Región AMBA
434,2018,2,Catamarca,7.693096507452943,Región NOA
435,2018,2,Chaco,12.499460181995785,Región NEA
436,2018,2,Chubut,5.329857730598913,Región Patagonia
437,2018,2,Córdoba,13.876809406349514,Región Centro
438,2018,2,Corrientes,10.87765289559918,Región NEA
439,2018,2,Entre Ríos,10.186702751759963,Región Centro
440,2018,2,Formosa,8.974986530777175,Región NEA
441,2018,2,Jujuy,6.289345589213642,Región NOA
442,2018,2,La Pampa,4.098364171057469,Región Patagonia
443,2018,2,La Rioja,5.591861584368082,Región Cuyo
444,2018,2,Mendoza,5.880529663045039,Región Cuyo
445,2018,2,Misiones,11.759657402552001,Región NEA
446,2018,2,Neuquén,13.365011560107956,Región Patagonia
447,2018,2,Río Negro,9.509595114373948,Región Patagonia
448,2018,2,Salta,8.928271706442677,Región NOA
449,2018,2,San Juan,5.845597830692315,Región Cuyo
450,2018,2,San Luis,5.9005751848808545,Región Cuyo
451,2018,2,Santa Cruz,5.1892899508557875,Región Patagonia
452,2018,2,Santa Fe,11.74888462281756,Región Centro
453,2018,2,Santiago Del Estero,5.9110016469983835,Región NOA
454,2018,2,Tierra Del Fuego,5.942745057375916,Región Patagonia
455,2018,2,Tucumán,13.506545729627103,Región NOA
456,2018,1,Buenos Aires,14.198889644680946,Región Buenos Aires
457,2018,1,Capital Federal,17.74557730418008,Región AMBA
458,2018,1,Catamarca,8.198860528714677,Región NOA
459,2018,1,Chaco,12.444064678644967,Región NEA
460,2018,1,Chubut,5.418637938827784,Región Patagonia
461,2018,1,Córdoba,12.790571217400485,Región Centro
462,2018,1,Corrientes,11.118502865253635,Región NEA
463,2018,1,Entre Ríos,9.875239366998759,Región Centro
